City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Upernavik,GL,2020-04-16 08:12:30,72.79,-56.15,19.42,85,89,7.61
213,Chuy,UY,2020-04-16 08:11:03,-33.7,-53.46,63.81,82,91,15.55
214,Hofn,IS,2020-04-16 08:10:43,64.25,-15.21,37.51,77,100,6.55
215,Ambanja,MG,2020-04-16 08:14:29,-13.68,48.45,87.8,55,20,6.93
216,Severo-Kurilsk,RU,2020-04-16 08:11:05,50.68,156.12,30.4,95,100,14.94
217,Hami,CN,2020-04-16 08:14:29,42.8,93.45,75.72,16,100,3.2
218,Japura,ID,2020-04-16 08:14:30,-0.32,102.35,83.52,86,99,3.49
219,Rundu,NA,2020-04-16 08:14:30,-17.93,19.77,86.58,26,0,3.69
220,Shache,CN,2020-04-16 08:11:27,38.42,77.24,79.57,10,5,7.18
221,Isla Mujeres,MX,2020-04-16 08:14:31,21.23,-86.73,78.8,83,40,9.17
222,Geraldton,AU,2020-04-16 08:14:31,-28.77,114.6,78.8,47,100,18.34
223,Aksu,CN,2020-04-16 08:14:31,41.12,80.26,74.19,17,87,12.33
224,Yumen,CN,2020-04-16 08:14:32,40.28,97.2,67.06,13,49,33.06
225,Bourail,NC,2020-04-16 08:14:32,-21.57,165.48,72.43,83,38,4.32
226,Myaundzha,RU,2020-04-16 08:14:32,63.05,147.19,14.79,86,100,15.61
227,Camacupa,AO,2020-04-16 08:12:14,-12.02,17.48,73.27,52,42,4.97
228,Bavly,RU,2020-04-16 08:14:33,54.39,53.26,45.68,52,90,12.64
229,Meiganga,CM,2020-04-16 08:14:33,6.52,14.3,82.09,51,84,2.15
230,La Ronge,CA,2020-04-16 08:11:13,55.1,-105.28,8.6,78,5,4.7
231,Yining,CN,2020-04-16 08:14:33,29.04,114.56,83.89,44,1,4.76
232,Manakara,MG,2020-04-16 08:14:34,-22.13,48.02,79.41,79,8,9.46
233,Eyl,SO,2020-04-16 08:10:36,7.98,49.82,87.21,62,23,10.04
234,Camopi,GF,2020-04-16 08:14:34,3.17,-52.32,70.74,95,86,1.97
235,Xining,CN,2020-04-16 08:14:35,36.62,101.77,58.24,14,41,17.22
236,Dwarka,IN,2020-04-16 08:14:35,22.24,68.97,80.85,75,98,9.26
237,Lorengau,PG,2020-04-16 08:12:34,-2.02,147.27,83.41,69,60,2.95
238,Poum,NC,2020-04-16 08:12:12,-20.23,164.02,79.14,79,1,13.96
239,Cleveland,US,2020-04-16 08:14:19,41.5,-81.7,34.0,74,40,10.29
240,Aksha,RU,2020-04-16 08:14:36,50.28,113.29,57.54,25,55,4.59
241,San Jose,US,2020-04-16 08:14:02,37.34,-121.89,57.0,81,20,8.05
242,Balkhash,KZ,2020-04-16 08:14:36,46.84,74.98,59.0,26,33,8.95
243,Soe,ID,2020-04-16 08:14:37,-9.86,124.28,70.56,81,100,2.62
244,Mumford,GH,2020-04-16 08:11:10,5.26,-0.76,85.71,70,10,9.33
245,Bethel,US,2020-04-16 08:07:18,41.37,-73.41,48.2,44,75,4.7
246,Volosovo,RU,2020-04-16 08:14:38,59.43,29.48,35.6,93,90,8.95
247,Masumbwe,TZ,2020-04-16 08:14:38,-3.63,32.18,77.81,51,23,5.95
248,Sandnessjoen,NO,2020-04-16 08:14:38,66.02,12.63,37.4,86,40,5.82
249,Maragogi,BR,2020-04-16 08:14:38,-9.01,-35.22,79.11,78,100,5.7
250,Rio Gallegos,AR,2020-04-16 08:12:39,-51.62,-69.22,39.2,86,3,6.13
251,Linhai,CN,2020-04-16 08:14:39,28.85,121.12,80.01,43,20,5.01
252,Dire Dawa,ET,2020-04-16 08:13:01,9.59,41.87,78.06,44,54,5.68
253,Nador,MA,2020-04-16 08:14:40,35.17,-2.93,62.6,93,40,8.05
254,Saint-Augustin,CA,2020-04-16 08:09:40,51.23,-58.65,21.9,92,38,3.04
255,Manaure,CO,2020-04-16 08:14:40,11.78,-72.44,78.42,81,40,13.94
256,Abidjan,CI,2020-04-16 08:14:41,5.31,-4.02,82.4,74,0,1.12
257,Caravelas,BR,2020-04-16 08:12:38,-17.71,-39.25,76.91,84,79,1.63
258,Port Hawkesbury,CA,2020-04-16 08:14:41,45.62,-61.35,36.0,93,90,11.41
259,Najran,SA,2020-04-16 08:14:41,17.49,44.13,80.6,44,40,6.93
260,Taoudenni,ML,2020-04-16 08:08:14,22.68,-3.98,89.31,26,0,9.42
261,Mackenzie,CA,2020-04-16 08:14:42,55.3,-123.17,35.6,64,1,4.7
262,Progreso,MX,2020-04-16 08:14:42,21.28,-89.67,81.0,83,5,5.82
263,Bengkulu,ID,2020-04-16 08:10:07,-3.8,102.27,85.39,68,92,5.21
264,Sioux Lookout,CA,2020-04-16 08:14:43,50.1,-91.92,24.8,58,75,10.29
265,Kidal,ML,2020-04-16 08:14:43,18.44,1.41,92.62,12,99,11.01
266,Ostrovnoy,RU,2020-04-16 08:11:01,68.05,39.51,33.75,91,100,17.11
267,Petrozavodsk,RU,2020-04-16 08:14:44,61.78,34.35,37.4,74,77,8.95
268,George,ZA,2020-04-16 08:14:44,-33.96,22.46,68.0,52,1,4.7
269,Great Falls,US,2020-04-16 08:13:18,47.5,-111.3,26.6,79,90,4.7
270,Necochea,AR,2020-04-16 08:10:43,-38.55,-58.74,47.97,80,39,3.98
271,Port Keats,AU,2020-04-16 08:14:45,-14.25,129.55,84.94,66,100,5.39
272,Modasa,IN,2020-04-16 08:14:45,23.47,73.3,108.18,11,0,19.08
273,Pemba,MZ,2020-04-16 08:10:01,-12.97,40.52,87.8,70,40,8.05
274,Pregradnoye,RU,2020-04-16 08:14:46,45.82,41.75,51.6,51,95,17.25
275,Ajdabiya,LY,2020-04-16 08:14:46,30.76,20.23,70.54,40,42,9.26
276,Kuusalu,EE,2020-04-16 08:14:46,59.44,25.44,39.99,93,90,8.05
277,Carnarvon,AU,2020-04-16 08:11:18,-24.87,113.63,84.2,51,75,18.34
278,Poya,NC,2020-04-16 08:14:47,-21.35,165.15,74.48,83,13,10.85
279,Gayny,RU,2020-04-16 08:14:47,60.31,54.32,40.73,65,100,14.2
280,Nabire,ID,2020-04-16 08:14:48,-3.37,135.48,80.73,78,87,0.87
281,Cervo,ES,2020-04-16 08:14:48,43.67,-7.41,51.01,1,71,7.52
282,Glendive,US,2020-04-16 08:14:48,47.11,-104.71,28.4,68,75,10.29
283,Ixtapa,MX,2020-04-16 08:11:59,20.7,-105.2,64.4,93,5,2.24
284,Peniche,PT,2020-04-16 08:14:49,39.36,-9.38,59.0,82,40,13.87
285,Druzhba,UA,2020-04-16 08:14:49,52.04,33.95,42.94,75,100,20.38
286,Luderitz,NA,2020-04-16 08:07:43,-26.65,15.16,59.0,72,64,11.41
287,Kieta,PG,2020-04-16 08:14:50,-6.22,155.63,82.4,74,100,1.36
288,Galveston,US,2020-04-16 08:14:50,29.37,-94.97,62.01,63,1,10.29
289,Karaton,ID,2020-04-16 08:14:51,-6.34,106.1,89.6,62,20,11.41
290,Manosque,FR,2020-04-16 08:14:51,43.83,5.79,66.99,54,100,10.29
291,Cockburn Town,TC,2020-04-16 08:11:58,21.46,-71.14,78.26,80,47,15.48
292,Torbay,CA,2020-04-16 08:11:14,47.67,-52.73,35.01,94,90,13.87
293,Port Blair,IN,2020-04-16 08:07:17,11.67,92.75,84.16,72,71,4.36
294,Quatre Cocos,MU,2020-04-16 08:11:11,-20.21,57.76,82.4,65,75,11.41
295,Waingapu,ID,2020-04-16 08:14:52,-9.66,120.26,81.97,80,89,10.04
296,Mutsu,JP,2020-04-16 08:14:52,41.29,141.22,48.2,34,20,10.29
297,Ballina,AU,2020-04-16 08:14:53,-28.87,153.57,80.6,73,37,11.41
298,Kutum,SD,2020-04-16 08:08:32,14.2,24.67,82.47,7,0,12.33
299,Istisu,AZ,2020-04-16 08:14:53,40.95,48.07,64.4,55,40,3.36
300,Clyde River,CA,2020-04-16 08:11:20,70.47,-68.59,5.0,92,90,16.11
301,Airai,TL,2020-04-16 08:09:09,-8.93,125.41,65.5,75,97,2.55
302,Cherepanovo,RU,2020-04-16 08:14:54,54.22,83.38,45.7,71,67,9.75
303,Narsaq,GL,2020-04-16 08:11:30,60.92,-46.05,32.0,97,90,6.93
304,Sarkand,KZ,2020-04-16 08:14:55,45.41,79.92,53.74,30,100,4.7
305,Korcula,HR,2020-04-16 08:14:55,42.96,17.14,55.26,48,17,2.42
