,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
120,Surt,LY,2020-04-20 01:51:53,31.21,16.59,70.03,33,100,19.44,overcast clouds,0.0,0.0
121,Salalah,OM,2020-04-20 01:51:53,17.02,54.09,80.6,74,20,4.7,few clouds,0.0,0.0
122,Ingham,US,2020-04-20 01:51:53,42.6,-84.38,43.0,48,1,4.7,clear sky,0.0,0.0
123,Mehamn,NO,2020-04-20 01:51:53,71.04,27.85,37.33,79,86,23.87,overcast clouds,0.0,0.0
124,Kemin,KG,2020-04-20 01:51:54,42.78,75.69,58.37,23,1,3.85,clear sky,0.0,0.0
125,Esperance,AU,2020-04-20 01:51:54,-33.87,121.9,60.8,67,0,12.75,clear sky,0.0,0.0
126,Bethel,US,2020-04-20 01:51:54,41.37,-73.41,55.4,37,75,12.75,broken clouds,0.0,0.0
127,Hovd,MN,2020-04-20 01:51:54,48.01,91.64,45.28,26,0,3.13,clear sky,0.0,0.0
128,Sitka,US,2020-04-20 01:50:09,57.05,-135.33,51.8,81,90,6.93,overcast clouds,0.0,0.0
129,Leningradskiy,RU,2020-04-20 01:51:55,69.38,178.42,14.41,93,95,10.16,overcast clouds,0.0,0.0
130,Butaritari,KI,2020-04-20 01:51:55,3.07,172.79,83.77,70,26,7.83,light rain,1.01,0.0
131,Polignano A Mare,IT,2020-04-20 01:51:55,41.0,17.22,63.0,61,100,4.99,overcast clouds,0.0,0.0
132,Chicama,PE,2020-04-20 01:51:56,-7.84,-79.15,73.51,70,7,6.55,clear sky,0.0,0.0
133,Brigantine,US,2020-04-20 01:51:56,39.41,-74.36,53.6,66,1,8.05,clear sky,0.0,0.0
134,Souillac,MU,2020-04-20 01:51:56,-20.52,57.52,77.0,83,75,12.75,broken clouds,0.0,0.0
135,Malpe,IN,2020-04-20 01:51:56,13.35,74.72,82.4,83,20,0.47,few clouds,0.0,0.0
136,Flin Flon,CA,2020-04-20 01:51:57,54.77,-101.86,25.75,94,68,8.7,light snow,0.0,0.16
137,Faanui,PF,2020-04-20 01:51:57,-16.48,-151.75,82.24,77,81,19.19,light rain,1.2,0.0
138,Totma,RU,2020-04-20 01:51:57,59.97,42.76,29.91,96,0,1.63,clear sky,0.0,0.0
